title,top_topics,intent,funnel_stage
Empreendedorismo feminino: qual espaço as mulheres ocupam nos negócios?,"['mulheres', 'negócios', 'feminino', 'sucesso', 'empresa', 'cada', 'mundo', 'empreendedorismo', 'empresas', 'participação']",Indeterminado,Meio do Funil (MoFu)
Código de serviço da nota fiscal: o que é + como funciona?,"['serviço', 'código', 'cnae', 'nota', 'fiscal', 'atividades', 'pode', 'cada', 'tipo', 'negócio']",Comercial,Fundo do Funil (BoFu)
Quer driblar a crise? Veja 4 maneiras baratas de divulgar sua empresa,"['empresa', 'marketing', 'conteúdo', 'estratégia', 'consumidor', 'excelente', 'mídias', 'sociais', 'público', 'sobre']",Indeterminado,Meio do Funil (MoFu)
Reduzindo os gastos da sua empresa com tecnologia,"['aplicativos', 'empresa', 'monitores', 'tecnologia', 'exigem', 'conexão', 'várias', 'empresas', 'economizar', 'ainda']",Indeterminado,Indeterminado
Como começar um negócio em casa,"['negócio', 'pode', 'casa', 'começar', 'negócios', 'empresas', 'vai', 'espaço', 'precisar', 'registrar']",Comercial,Meio do Funil (MoFu)
Como e por que emitir nota fiscal eletrônica: tudo sobre a NF-e,"['nota', 'fiscal', 'emitir', 'emissão', 'eletrônica', 'empresa', 'nf', 'sobre', 'produtos', 'notas']",Comercial,Fundo do Funil (BoFu)
Saiba como fazer fluxo de caixa para e-commerce,"['caixa', 'fluxo', 'passo', 'produtos', 'despesas', 'recebimentos', 'forma', 'dinheiro', 'fazer', 'impostos']",Comercial,Meio do Funil (MoFu)
Saiba como fazer o fechamento de caixa corretamente,"['caixa', 'controle', 'fluxo', 'financeiro', 'fechamento', 'negócio', 'ter', 'período', 'saldo', 'despesas']",Informativa,Meio do Funil (MoFu)
Saiba tudo sobre o eSocial e como aplicá-lo em seu escritório contábil,"['esocial', 'informações', 'dados', 'sobre', 'trabalho', 'empresas', 'grupo', 'r', 'contábil', 'plataforma']",Transacional,Fundo do Funil (BoFu)
MPE: pesquisa do Sebrae mostra que Simples Nacional dobra a sobrevivência dos negócios,"['simples', 'regime', 'tributário', 'impostos', 'empresas', 'nacional', 'negócios', 'empreendedor', 'caixa', 'empresa']",Informativa,Topo do Funil (ToFu)
Saiba mais sobre o Simples Nacional e outros regimes tributários,"['lucro', 'regime', 'tributário', 'irpj', 'empresa', 'fisco', 'impostos', 'real', 'csll', 'alíquotas']",Transacional,Fundo do Funil (BoFu)
Veja 5 dicas para quem quer trabalhar de casa,"['casa', 'trabalhar', 'pode', 'ambiente', 'horário', 'dia', 'rotina', 'tempo', 'profissionais', 'dicas']",Comercial,Fundo do Funil (BoFu)
Veja 5 dicas para que sua empresa sobreviva ao primeiro ano,"['negócios', 'ano', 'fluxo', 'caixa', 'quickbooks', 'primeiro', 'dicas', 'tempo', 'clientes', 'pode']",Informativa,Fundo do Funil (BoFu)
Vai contratar? Veja dicas para aplicar durante a seleção,"['candidato', 'entrevista', 'perguntas', 'importantes', 'descobrir', 'emprego', 'pode', 'personalidade', 'cada', 'dicas']",Comercial,Topo do Funil (ToFu)
Sistema ERP: saiba o que é e para o que serve,"['erp', 'sistema', 'empresa', 'negócio', 'gestão', 'processos', 'maior', 'além', 'qualidade', 'organizada']",Transacional,Fundo do Funil (BoFu)
Tudo o que você deve saber para rentabilizar a contabilidade consultiva,"['contabilidade', 'consultiva', 'empresa', 'contador', 'pode', 'processos', 'negócio', 'clientes', 'contábil', 'forma']",Transacional,Fundo do Funil (BoFu)
"Como migrar de sistema contábil, afinal? Veja como funciona o processo","['sistema', 'fazer', 'importante', 'escritório', 'contábil', 'migração', 'novo', 'processo', 'empresa', 'possível']",Comercial,Fundo do Funil (BoFu)
Qual o papel do contador nos dias atuais e nas empresas?,"['contador', 'empresas', 'papel', 'empresa', 'informações', 'gestão', 'dados', 'contabilidade', 'técnico', 'todo']",Comercial,Indeterminado
Ponto de equilíbrio financeiro: veja como analisar,"['custos', 'análise', 'equilíbrio', 'empresa', 'ponto', 'produto', 'preços', 'período', 'valor', 'preço']",Transacional,Fundo do Funil (BoFu)
MEI agora pode usar casa como sede do negócio,"['mei', 'federal', 'pode', 'residência', 'endereço', 'comercial', 'atividade', 'lei', 'sebrae', 'brasil']",Indeterminado,Meio do Funil (MoFu)
Simples Nacional ou Lucro Presumido: qual a diferença dos regimes?,"['lucro', 'empresa', 'simples', 'nacional', 'presumido', 'regime', 'impostos', 'empresas', 'margem', 'tributário']",Comercial,Fundo do Funil (BoFu)
5 etapas para estimar o seu potencial de lucro,"['potencial', 'lucro', 'produto', 'custos', 'produtos', 'exemplo', 'empresa', 'mercado', 'r', 'longo']",Transacional,Fundo do Funil (BoFu)
"Aprenda o que é LALUR, qual a sua importância e como fazer","['lalur', 'lucro', 'empresa', 'real', 'pode', 'escrituração', 'contábil', 'livro', 'apuração', 'multas']",Informativa,Meio do Funil (MoFu)
O que são indicadores de desempenho e quais você deve acompanhar?,"['empresa', 'indicadores', 'negócio', 'desempenho', 'importante', 'maior', 'possível', 'métricas', 'consegue', 'análise']",Transacional,Fundo do Funil (BoFu)
Como anunciar no Instagram e quais os benefícios dessa estratégia?,"['instagram', 'digital', 'publicidade', 'campanha', 'redes', 'sociais', 'público', 'pode', 'orçamento', 'objetivo']",Informativa,Meio do Funil (MoFu)
Como escolher o ponto comercial para abrir sua loja?,"['comercial', 'ponto', 'negócio', 'pode', 'abrir', 'local', 'ideia', 'antes', 'loja', 'clientes']",Informativa,Meio do Funil (MoFu)
4 dicas de vendas imperdíveis para aumentar o lucro da sua empresa,"['aumentar', 'empresa', 'vendas', 'produtos', 'cliente', 'vender', 'dicas', 'preciso', 'vende', 'exemplo']",Transacional,Fundo do Funil (BoFu)
4 dicas de gestão fiscal para pequenas empresas,"['empresa', 'fiscal', 'gestão', 'empresas', 'receita', 'bruta', 'r', 'maior', 'tributária', 'além']",Informativa,Fundo do Funil (BoFu)
4 dicas de controle financeiro para autônomos,"['manter', 'empresa', 'controle', 'financeiro', 'contas', 'pessoais', 'despesas', 'autônomo', 'assim', 'planejamento']",Transacional,Fundo do Funil (BoFu)
Nota fiscal conjugada: benefícios e passo a passo para emitir,"['nota', 'fiscal', 'conjugada', 'serviços', 'emitir', 'passo', 'notas', 'emissão', 'impostos', 'produtos']",Transacional,Fundo do Funil (BoFu)
Como calcular o ICMS de um produto?Aprenda  na prática!,"['icms', 'alíquota', 'serviços', 'produto', 'r', 'calcular', 'estado', 'imposto', 'interestadual', 'alíquotas']",Transacional,Fundo do Funil (BoFu)
Automação fiscal: como funciona + benefícios para sua empresa,"['fiscal', 'fiscais', 'automação', 'informações', 'negócio', 'dados', 'processos', 'tempo', 'equipe', 'notas']",Comercial,Fundo do Funil (BoFu)
Impacto das Atualizações Fiscais de 2024 no Seu Negócio,"['fiscais', 'mudanças', 'atualizações', 'fonte', 'processos', 'podem', 'novas', 'empresas', '2024', 'conformidade']",Informativa,Meio do Funil (MoFu)
Como calcular o Simples Nacional: guia completo e prático!,"['r', 'simples', 'nacional', 'alíquota', 'receita', 'valor', 'faturamento', 'calcular', 'anexo', 'empresa']",Comercial,Fundo do Funil (BoFu)
CNAE para e-commerce: saiba definir a certa para seu negócio!,"['comércio', 'cnae', 'varejista', 'classificação', 'código', 'pode', 'negócio', 'artigos', 'atividade', 'nacional']",Transacional,Fundo do Funil (BoFu)
"EIRELI: o que era, por que acabou e o que mudou com seu fim?","['eireli', 'empresa', 'ter', 'limitada', 'abrir', 'negócio', 'individual', 'abertura', 'regime', 'jurídico']",Informativa,Meio do Funil (MoFu)
Retenção de imposto na nota fiscal de serviço [Guia completo],"['retenção', 'fiscal', 'serviço', 'impostos', 'nota', 'imposto', 'lucro', 'empresa', 'alíquota', 'valor']",Comercial,Fundo do Funil (BoFu)
MDF-e: guia completo para transportar suas cargas dentro da lei,"['manifesto', 'transporte', 'fiscais', 'documento', 'documentos', 'eletrônico', 'carga', 'emitir', 'registro', 'emissão']",Transacional,Fundo do Funil (BoFu)
Como conseguir segunda via de nota fiscal? Passo a passo!,"['nota', 'fiscal', 'via', 'segunda', 'documento', 'notas', 'fiscais', 'emissão', 'cliente', 'nf']",Transacional,Fundo do Funil (BoFu)
Como calcular o imposto no Lucro Real? Aprenda na prática!,"['lucro', 'real', 'r', 'regime', 'sobre', 'negócio', 'empresas', 'calcular', 'valor', 'imposto']",Comercial,Fundo do Funil (BoFu)
Como emitir nota fiscal de produtos importados em 4 passos?,"['importação', 'fiscal', 'nota', 'produtos', 'emitir', 'importados', 'mercadorias', 'mercadoria', 'impostos', 'exterior']",Transacional,Fundo do Funil (BoFu)
